"Honorific.Title","First.Name","Last.Name","Constituency","Province...Territory","Political.Affiliation","Start.Date","End.Date","DirectWebPage","MP_at","Rols","Email","Website","HillOfficeAddressInfo","HillOfficePhoneFaxInfo","MainOfficeAddressInfo","MainOfficePhoneFaxInfo"
"","Mel","Arnold","North Okanagan—Shuswap","British Columbia","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/mel-arnold(89294)","North Okanagan—Shuswap, British Columbia
","
                FOPOStanding Committee on Fisheries and Oceans
            
    ","mel.arnold@parl.gc.ca","http://melarnold.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-9095
                    Fax: 613-992-3195
                ","
                    Main office -  Vernon 
                    3105 - 29th Street 
                    Vernon, British Columbia 
                    V1T 5A8 ","
                    Telephone:  250-260-5020 
Fax:  250-260-5025 "
"","René","Arseneault","Madawaska—Restigouche","New Brunswick","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/rene-arseneault(89383)","Madawaska—Restigouche, New Brunswick
","
                LANGStanding Committee on Official Languages
            
            
                SLANSubcommittee on Agenda and Procedure of the Standing Committee on Official Languages
            
    ","rene.arseneault@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-0581
                    Fax: 613-996-9736
                ","
                    Main office -  Dalhousie 
                    374 Adelaide Street 
                    Dalhousie, New Brunswick 
                    E8C 1A5 ","
                    Telephone:  506-684-6267 
Fax:  506-684-6250 "
"","Chandra","Arya","Nepean","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/chandra-arya(88860)","Nepean, Ontario
","
                CIITStanding Committee on International Trade
            
    ","chandra.arya@parl.gc.ca","http://chandraarya.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-1325
                    Fax: 613-992-1336
                ","
                    Main office -  Nepean 
                    201-240 Kennevale Drive 
                    Nepean, Ontario 
                    K2J 6B6 ","
                    Telephone:  613-825-5505 
Fax:  613-825-2055 "
"","Niki","Ashton","Churchill—Keewatinook Aski","Manitoba","NDP","2021-09-20 12:00:00 AM",NA,"/members/en/niki-ashton(36037)","Churchill—Keewatinook Aski, Manitoba
","
                LANGStanding Committee on Official Languages
            
            
                SLANSubcommittee on Agenda and Procedure of the Standing Committee on Official Languages
            
    ","niki.ashton@parl.gc.ca","http://nikiashton.ndp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-3018
                    Fax: 613-996-5817
                ","
                    Main office -  Thompson 
                    305-83 Churchill Drive 
                    Thompson, Manitoba 
                    R8N 0L6 ","
                    Telephone:  204-677-1333 
Fax:  204-677-1339 "
"","Jenica","Atwin","Fredericton","New Brunswick","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/jenica-atwin(104586)","Fredericton, New Brunswick
","Parliamentary Secretary to the Minister of Indigenous Services
","Jenica.Atwin@parl.gc.ca","http://jenicafredericton.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-1067
                    Fax: 613-996-9955
                ","
                    Main office -  Fredericton 
                    1001-154 Main Street 
                    Fredericton, New Brunswick 
                    E3A 1C8 ","
                    Telephone:  506-452-4110 
Fax:  506-452-4076 "
"","Taylor","Bachrach","Skeena—Bulkley Valley","British Columbia","NDP","2021-09-20 12:00:00 AM",NA,"/members/en/taylor-bachrach(105854)","Skeena—Bulkley Valley, British Columbia
","
                STRASubcommittee on Agenda and Procedure of the Standing Committee on Transport, Infrastructure, and Communities
            
            
                TRANStanding Committee on Transport, Infrastructure and Communities
            
    ","Taylor.Bachrach@parl.gc.ca","http://taylorbachrach.ndp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-7688
                    Fax: 613-993-9007
                ","
                     Smithers 
                    1226 Main Street 
                    Smithers, British Columbia 
                    V0J 2N0 ","
                    Telephone:  250-877-4140 "
"","Vance","Badawey","Niagara Centre","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/vance-badawey(88867)","Niagara Centre, Ontario
","Parliamentary Secretary to the Minister of Transport
","vance.badawey@parl.gc.ca","http://vancebadawey.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-0988
                    Fax: 613-995-5245
                ","
                    Main office -  Welland 
                    103-136 East Main St 
                    Welland, Ontario 
                    L3B 3W6 ","
                    Telephone:  905-788-2204 
Fax:  905-788-0071 "
"","Parm","Bains","Steveston—Richmond East","British Columbia","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/parm-bains(111067)","Steveston—Richmond East, British Columbia
","
                ETHIStanding Committee on Access to Information, Privacy and Ethics
            
            
                OGGOStanding Committee on Government Operations and Estimates
            
    ","parm.bains@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-1385
                    Fax: 613-992-1410
                ","
                    Main office -  Richmond 
                    230-11331 Coppersmith Way 
                    Richmond, British Columbia 
                    V7A 5J9 ","
                    Telephone:  604-257-2900 
Fax:  604-257-2904 "
"","Yvan","Baker","Etobicoke Centre","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/yvan-baker(105121)","Etobicoke Centre, Ontario
","Member of the panel of chairs for the legislative committees
","Yvan.Baker@parl.gc.ca","http://yvanbaker.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-947-5000
                    Fax: 613-947-4276
                ","
                    Main office -  Etobicoke 
                    2-577 Burnhamthorpe Road 
                    Etobicoke, Ontario 
                    M9C 2Y3 ","
                    Telephone:  416-249-7322 
Fax:  416-249-6117 "
"","Tony","Baldinelli","Niagara Falls","Ontario","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/tony-baldinelli(30330)","Niagara Falls, Ontario
","
                CIITStanding Committee on International Trade
            
    ","Tony.Baldinelli@parl.gc.ca","http://www.tonybaldinellimp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-1547
                    Fax: 613-992-7910
                ","
                    Main office -  Niagara Falls 
                    107-4056 Dorchester Road 
                    Niagara Falls, Ontario 
                    L2E 6M9 ","
                    Telephone:  905-353-9590 
Fax:  905-353-9588 "
"","John","Barlow","Foothills","Alberta","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/john-barlow(86261)","Foothills, Alberta
","
                AGRIStanding Committee on Agriculture and Agri-Food
            
    ","john.barlow@parl.gc.ca","http://johnbarlowmp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-8471
                    Fax: 613-996-9770
                ","
                    Main office -  High River 
                    109 - 4th Avenue South West 
                    High River, Alberta 
                    T1V 1M5 ","
                    Telephone:  403-603-3665 
Fax:  403-603-3669 "
"","Michael","Barrett","Leeds—Grenville—Thousand Islands and Rideau Lakes","Ontario","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/michael-barrett(102275)","Leeds—Grenville—Thousand Islands and Rideau Lakes, Ontario
","
                ETHIStanding Committee on Access to Information, Privacy and Ethics
            
            
                SETHSubcommittee on Agenda and Procedure of the Standing Committee on Access to Information, Privacy and Ethics
            
    ","Michael.Barrett@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-8756
                    Fax: 613-996-9171
                ","
                    Main office -  Brockville 
                    205-68 William Street 
                    Brockville, Ontario 
                    K6V 4V5 ","
                    Telephone:  866-498-3096 
Fax:  613-498-3100 "
"","Lisa Marie","Barron","Nanaimo—Ladysmith","British Columbia","NDP","2021-09-20 12:00:00 AM",NA,"/members/en/lisa-marie-barron(111023)","Nanaimo—Ladysmith, British Columbia
","
                FOPOStanding Committee on Fisheries and Oceans
            
            
                SFOPSubcommittee on Agenda and Procedure of the Standing Committee on Fisheries and Oceans
            
    ","lisamarie.barron@parl.gc.ca","http://lisamariebarron.ndp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-5243
                    Fax: 613-992-9112
                ","
                    Main office -  Nanaimo 
                    103-495 Dunsmuir Street 
                    Nanaimo, British Columbia 
                    V9R 6B9 ","
                    Telephone:  250-734-6400 
Fax:  250-734-6404 "
"","Xavier","Barsalou-Duval","Pierre-Boucher—Les Patriotes—Verchères","Quebec","Bloc Québécois","2021-09-20 12:00:00 AM",NA,"/members/en/xavier-barsalou-duval(88422)","Pierre-Boucher—Les Patriotes—Verchères, Quebec
","
                TRANStanding Committee on Transport, Infrastructure and Communities
            
    ","xavier.barsalou-duval@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-996-2998
                    Fax: 613-995-1062
                ","
                    Main office -  Varennes 
                    202-1625 Lionel-Boulet Blvd 
                    Varennes, Quebec 
                    J3X 1P7 ","
                    Telephone:  450-652-4442 
Fax:  450-652-4447 "
"","Jaime","Battiste","Sydney—Victoria","Nova Scotia","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/jaime-battiste(104571)","Sydney—Victoria, Nova Scotia
","Parliamentary Secretary to the Minister of Crown-Indigenous Relations
","Jaime.Battiste@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-6459
                    Fax: 613-995-2963
                ","
                    Main office -  Membertou First Nation (Sydney) 
                    207A-201 Churchill Drive 
                    Membertou First Nation (Sydney), Nova Scotia 
                    B1S 2N9 ","
                    Telephone:  902-567-6275 
Fax:  902-564-2479 "
"","Mario","Beaulieu","La Pointe-de-l'Île","Quebec","Bloc Québécois","2021-09-20 12:00:00 AM",NA,"/members/en/mario-beaulieu(376)","La Pointe-de-l'Île, Quebec
","
                LANGStanding Committee on Official Languages
            
    ","mario.beaulieu@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-6327
                    Fax: 613-996-5173
                ","
                    Main office -  Montréal 
                    100-12500 Industriel Blvd 
                    Montréal, Quebec 
                    H1B 5P5 ","
                    Telephone:  514-645-0101 
Fax:  514-645-0032 "
"Hon.","Terry","Beech","Burnaby North—Seymour","British Columbia","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/terry-beech(89236)","Burnaby North—Seymour, British Columbia
","Minister of Citizens’ Services
","terry.beech@parl.gc.ca","http://terrybeechmp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-0802
                    Fax: 613-992-0824
                ","
                    Main office -  Burnaby 
                    3906 Hastings Street 
                    Burnaby, British Columbia 
                    V5C 6C1 ","
                    Telephone:  604-718-8870 
Fax:  604-718-8874 "
"","Rachel","Bendayan","Outremont","Quebec","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/rachel-bendayan(88567)","Outremont, Quebec
","Parliamentary Secretary to the Deputy Prime Minister and Minister of Finance
","Rachel.Bendayan@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-7691
                    Fax: 613-995-0114
                ","
                    Main office -  Montréal 
                    302-154 Laurier Avenue West 
                    Montréal, Quebec 
                    H2T 2N7 ","
                    Telephone:  514-736-2727 
Fax:  514-736-2726 "
"Hon.","Carolyn","Bennett","Toronto—St. Paul's","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/carolyn-bennett(992)","Toronto—St. Paul's, Ontario
","
                ACVAStanding Committee on Veterans Affairs
            
    ","carolyn.bennett@parl.gc.ca","http://carolynbennett.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-9666
                    Fax: 613-947-4622
                ","
                    Main office -  Toronto 
                    103-40 Holly Street 
                    Toronto, Ontario 
                    M4S 3C3 ","
                    Telephone:  416-952-3990 
Fax:  416-952-3995 "
"","Stéphane","Bergeron","Montarville","Quebec","Bloc Québécois","2021-09-20 12:00:00 AM",NA,"/members/en/stephane-bergeron(496)","Montarville, Quebec
","Member of the National Security and Intelligence Committee of Parliamentarians
","Stephane.Bergeron@parl.gc.ca","http://www.stephanebergeron.net","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-996-2416
                    Fax: 613-995-6973
                ","
                    Main office -  Sainte-julie 
                    201-1990 Léonard-de-Vinci Street 
                    Sainte-julie, Quebec 
                    J3E 1Y8 ","
                    Telephone:  450-922-2562 
Fax:  450-922-1223 
Toll Free Number: 1-833-615-0376 "
"","Luc","Berthold","Mégantic—L'Érable","Quebec","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/luc-berthold(88541)","Mégantic—L'Érable, Quebec
","Deputy House leader of the official opposition
","luc.berthold@parl.gc.ca","http://lucberthold.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-1377
                    Fax: 613-943-1562
                ","
                    Main office -  Thetford Mines 
                    105A Notre-Dame Street East 
                    Thetford Mines, Quebec 
                    G6G 2J9 ","
                    Telephone:  418-338-2903 
Fax:  418-338-3631 "
"","Sylvie","Bérubé","Abitibi—Baie-James—Nunavik—Eeyou","Quebec","Bloc Québécois","2021-09-20 12:00:00 AM",NA,"/members/en/sylvie-berube(104622)","Abitibi—Baie-James—Nunavik—Eeyou, Quebec
","
                CAAFCanada-Africa Parliamentary Association
            
            
                CACNCanada-China Legislative Association
            
            
                CADECanada-Germany Interparliamentary Group
            
            
                CAEUCanada-Europe Parliamentary Association
            
            
                CAFRCanada-France Inter-Parliamentary Association
            
            
                CAIECanada-Ireland Interparliamentary Group
            
            
                CAILCanada-Israel Interparliamentary Group
            
            
                CAITCanada-Italy Interparliamentary Group
            
            
                CAJPCanada-Japan Inter-Parliamentary Group
            
            
                CANACanadian NATO Parliamentary Association
            
            
                CAPFCanadian Branch of the Assemblée parlementaire de la Francophonie
            
            
                CCOMCanadian Branch of the Commonwealth Parliamentary Association
            
            
                CEUSCanada-United States Inter-Parliamentary Group
            
            
                CPAMCanadian Section of ParlAmericas
            
            
                RUUKCanada-United Kingdom Inter-Parliamentary Association
            
            
                SECOCanadian Delegation to the Organization for Security and Co-operation in Europe Parliamentary Assembly
            
            
                UIPUCanadian Group of the Inter-Parliamentary Union
            
    ","Sylvie.Berube@parl.gc.ca","http://deputee.sylvieberube.info","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-3030
                    Fax: 613-996-0828
                ","
                    Main office -  Val-d'Or 
                    204-888 3rd Avenue 
                    Val-d'Or, Quebec 
                    J9P 5E6 ","
                    Telephone:  819-824-2942 
Fax:  819-824-2958 "
"","James","Bezan","Selkirk—Interlake—Eastman","Manitoba","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/james-bezan(25475)","Selkirk—Interlake—Eastman, Manitoba
","
                NDDNStanding Committee on National Defence
            
    ","james.bezan@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-2032
                    Fax: 613-992-6224
                ","
                    Main office -  Selkirk 
                    228 Manitoba Avenue 
                    Selkirk, Manitoba 
                    R1A 0Y5 ","
                    Telephone:  204-785-6151 
Fax:  204-785-6153 "
"Hon.","Marie-Claude","Bibeau","Compton—Stanstead","Quebec","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/marie-claude-bibeau(88449)","Compton—Stanstead, Quebec
","Minister of National Revenue
","marie-claude.bibeau@parl.gc.ca","http://marieclaudebibeau.libparl.ca/?lang=en","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-2024
                    Fax: 613-992-1696
                ","
                    Main office -  Sherbrooke 
                    204-175 Queen Street 
                    Sherbrooke, Quebec 
                    J1M 1K1 ","
                    Telephone:  819-347-2598 
Fax:  819-347-3583 "
"","Chris","Bittle","St. Catharines","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/chris-bittle(88934)","St. Catharines, Ontario
","Parliamentary Secretary to the Minister of Housing, Infrastructure and Communities
","chris.bittle@parl.gc.ca","http://chrisbittle.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-3352
                    Fax: 613-947-4402
                ","
                    Main office -  St. Catharines 
                    1-61 Geneva Street 
                    St. Catharines, Ontario 
                    L2M 4M6 ","
                    Telephone:  905-934-6767 
Fax:  905-934-1577 "
"","Daniel","Blaikie","Elmwood—Transcona","Manitoba","NDP","2021-09-20 12:00:00 AM",NA,"/members/en/daniel-blaikie(89032)","Elmwood—Transcona, Manitoba
","
                FINAStanding Committee on Finance
            
            
                SFINSubcommittee on Agenda and Procedure of the Standing Committee on Finance
            
    ","daniel.blaikie@parl.gc.ca","http://www.danielblaikiemp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-6339
                    Fax: 613-995-6688
                ","
                    Main office -  Winnipeg 
                    207-1111 Munroe Avenue 
                    Winnipeg, Manitoba 
                    R2K 3Z5 ","
                    Telephone:  204-984-2499 
Fax:  204-984-2502 "
"Hon.","Bill","Blair","Scarborough Southwest","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/bill-blair(88961)","Scarborough Southwest, Ontario
","Minister of National Defence
","bill.blair@parl.gc.ca","http://billblair.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-0284
                    Fax: 613-996-6309
                ","
                    Main office -  Scarborough 
                    2263 Kingston Road 
                    Scarborough, Ontario 
                    M1N 1T8 ","
                    Telephone:  416-261-8613 
Fax:  416-261-5268 "
"","Yves-François","Blanchet","Beloeil—Chambly","Quebec","Bloc Québécois","2021-09-20 12:00:00 AM",NA,"/members/en/yves-francois-blanchet(104669)","Beloeil—Chambly, Quebec
","Leader of the Bloc Québécois
","Yves-Francois.Blanchet@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-6035
                    Fax: 613-947-5096
                ","
                    Main office -  Chambly 
                    270 Fréchette Boulevard 
                    Chambly, Quebec 
                    J3L 2Z5 ","
                    Telephone:  450-658-0088 
Fax:  450-658-0885 
Toll Free Number: 877-741-7802 "
"","Maxime","Blanchette-Joncas","Rimouski-Neigette—Témiscouata—Les Basques","Quebec","Bloc Québécois","2021-09-20 12:00:00 AM",NA,"/members/en/maxime-blanchette-joncas(104705)","Rimouski-Neigette—Témiscouata—Les Basques, Quebec
","
                SRSRStanding Committee on Science and Research
            
    ","Maxime.Blanchette-Joncas@parl.gc.ca","http://www.maximeblanchettejoncas.quebec","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-5302
                    Fax: 613-996-8298
                ","
                    Main office -  Rimouski 
                    701-320 Saint-Germain Street East 
                    Rimouski, Quebec 
                    G5L 1C2 ","
                    Telephone:  418-725-2562 
Fax:  418-725-3993 
Toll Free Number: 1-866-720-2562 "
"","Rachel","Blaney","North Island—Powell River","British Columbia","NDP","2021-09-20 12:00:00 AM",NA,"/members/en/rachel-blaney(89354)","North Island—Powell River, British Columbia
","Whip of the New Democratic Party
","rachel.blaney@parl.gc.ca","http://rachelblaney.ndp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-2503
                    Fax: 613-996-3306
                ","
                     Powell River 
                    4683 Marine Avenue 
                    Powell River, British Columbia 
                    V8A 2G8 ","
                    Telephone:  604-489-2286 "
"","Kelly","Block","Carlton Trail—Eagle Creek","Saskatchewan","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/kelly-block(59156)","Carlton Trail—Eagle Creek, Saskatchewan
","
                OGGOStanding Committee on Government Operations and Estimates
            
            
                SOGGSubcommittee on Agenda and Procedure of the Standing Committee on Government Operations and Estimates
            
    ","kelly.block@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-1551
                    Fax: 613-943-2010
                ","
                    Main office -  Martensville 
                    2B-725 Centennial Drive S 
                    Martensville, Saskatchewan 
                    S0K 2T0 ","
                    Telephone:  306-975-4004 
Fax:  306-975-4051 "
"","Kody","Blois","Kings—Hants","Nova Scotia","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/kody-blois(104555)","Kings—Hants, Nova Scotia
","
                AGRIStanding Committee on Agriculture and Agri-Food
            
            
                SAGRSubcommittee on Agenda and Procedure of the Standing Committee on Agriculture and Agri-Food
            
    ","Kody.Blois@parl.gc.ca","http://kodyblois.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-8231
                    Fax: 613-996-9349
                ","
                    Main office -  Wolfville 
                    101-24 Harbourside Drive 
                    Wolfville, Nova Scotia 
                    B4P 2C1 ","
                    Telephone:  902-542-4010 
Fax:  902-542-4184 "
"Hon.","Randy","Boissonnault","Edmonton Centre","Alberta","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/randy-boissonnault(89147)","Edmonton Centre, Alberta
","Minister of Employment, Workforce Development and Official Languages
","randy.boissonnault@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-4524
                    Fax: 613-943-0044
                ","
                    Main office -  Edmonton 
                    202-10235 124 St NW 
                    Edmonton, Alberta 
                    T5N 1P9 ","
                    Telephone:  780-442-1888 
Fax:  780-442-1891 "
